duration,input.bin,input.doc_len,input.document_id,input.document_title,input.index,input.query_id,input.topic_description,input.topic_query,job,output.relevant_snippets,output.relevant_snippets.annotations,output.relevant_snippets.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,max_relevance_score,none_score,nist_rel,nist_rel_binary,crowd_rel_binary,crowd_rel_ternary
107,2,898,653,VIOLENCE IN INDIA REVIVES OLD FEARS,4250,422,What incidents have there been of stolen or forged art?,"art, stolen, forged",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 6, 's8': 1, 's7': 1, 's9': 1, 's10': 1})",10,5,7,0.8887324168,"Counter({'none': 0.9509794306186589, 's8': 0.04902056938134115, 's7': 0.04902056938134115, 's9': 0.04902056938134115, 's10': 0.04902056938134115})",0.7142857143,"Counter({'none': 0.8571428571428571, 's8': 0.14285714285714285, 's7': 0.14285714285714285, 's9': 0.14285714285714285, 's10': 0.14285714285714285})",0.0490205694,0.9509794306,0,0,0,0
67.4285714286,2,816,715,SHULTZ TO SEEK STRONGER TIES IN BLACK AFRICA,5133,443,What is the extent of U.S. (government and private) investment in sub-Saharan Africa?,"U.S., investment, Africa",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's8': 2, 's3': 2, 's10': 2, 's5': 2, 's9': 2, 's2': 1, 's1': 1, 's7': 1, 's6': 1, 's4': 1})",20,11,7,0.6796971096,"Counter({'none': 0.8430656061736101, 's8': 0.15693439382638993, 's3': 0.15693439382638993, 's10': 0.15693439382638993, 's5': 0.15693439382638993, 's9': 0.15693439382638993, 's2': 0.0025034251384157343, 's1': 0.0025034251384157343, 's7': 0.0025034251384157343, 's6': 0.0025034251384157343, 's4': 0.0025034251384157343})",0.5098622277,"Counter({'none': 0.7142857142857143, 's8': 0.2857142857142857, 's3': 0.2857142857142857, 's10': 0.2857142857142857, 's5': 0.2857142857142857, 's9': 0.2857142857142857, 's2': 0.14285714285714285, 's1': 0.14285714285714285, 's7': 0.14285714285714285, 's6': 0.14285714285714285, 's4': 0.14285714285714285})",0.1569343938,0.8430656062,1,1,1,1
146.7142857143,2,571,1064,Factory-Guaranteed Teachers,7257,690,Find documents which describe an advantage in hiring potential or increased income for graduates of U.S. colleges.,college education advantage,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's8': 2, 's2': 2, 's1': 2, 's6': 2, 's9': 2, 's4': 2, 's3': 1, 's7': 1})",19,9,7,0.8124870763,"Counter({'none': 0.9155337401275273, 's8': 0.08446625987247267, 's2': 0.08446625987247267, 's1': 0.08446625987247267, 's6': 0.08446625987247267, 's9': 0.08446625987247267, 's4': 0.08446625987247267, 's3': 0.08243328887533997, 's7': 0.08243328887533997})",0.5174297811,"Counter({'none': 0.7142857142857143, 's8': 0.2857142857142857, 's2': 0.2857142857142857, 's1': 0.2857142857142857, 's6': 0.2857142857142857, 's9': 0.2857142857142857, 's4': 0.2857142857142857, 's3': 0.14285714285714285, 's7': 0.14285714285714285})",0.0844662599,0.9155337401,0,0,0,0
128.4285714286,2,961,1122,SHULTZ READY FOR TOUR OF 6 BLACK AFRICAN NATIONS,5103,443,What is the extent of U.S. (government and private) investment in sub-Saharan Africa?,"U.S., investment, Africa",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,Counter({'none': 7}),7,1,7,1,Counter({'none': 1.0}),1,Counter({'none': 1.0}),0,1,1,1,0,0
155.5714285714,2,805,1341,Trade Doesn't Need Scapegoats,6955,414,How much sugar does Cuba export and which countries import it?,"Cuba, sugar, exports",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,Counter({'none': 7}),7,1,7,1,Counter({'none': 1.0}),1,Counter({'none': 1.0}),0,1,0,0,0,0
131.1428571429,2,825,1599,U.S. DESCRIBES DATA THAT SPY PROVIDED ISRAEL,8839,389,"selling their products, formulas, etc. directly or indirectly to foreign entities for other than peaceful purposes?",illegal technology transfer,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's8': 2, 's13': 2, 's11': 2, 's10': 2, 's7': 2, 's6': 2, 's5': 2, 's9': 2, 's3': 2, 's12': 2, 's4': 2, 's1': 2, 's14': 2, 's2': 1, 's15': 1})",33,16,7,0.8260108759,"Counter({'none': 0.9281859785400333, 's8': 0.07181402145996676, 's13': 0.07181402145996676, 's11': 0.07181402145996676, 's10': 0.07181402145996676, 's7': 0.07181402145996676, 's6': 0.07181402145996676, 's5': 0.07181402145996676, 's9': 0.07181402145996676, 's3': 0.07181402145996676, 's12': 0.07181402145996676, 's4': 0.07181402145996676, 's1': 0.07181402145996676, 's14': 0.07181402145996676, 's2': 0.06974300629435311, 's15': 0.0020710151656136485})",0.5204081633,"Counter({'none': 0.7142857142857143, 's8': 0.2857142857142857, 's13': 0.2857142857142857, 's11': 0.2857142857142857, 's10': 0.2857142857142857, 's7': 0.2857142857142857, 's6': 0.2857142857142857, 's5': 0.2857142857142857, 's9': 0.2857142857142857, 's3': 0.2857142857142857, 's12': 0.2857142857142857, 's4': 0.2857142857142857, 's1': 0.2857142857142857, 's14': 0.2857142857142857, 's2': 0.14285714285714285, 's15': 0.14285714285714285})",0.0718140215,0.9281859785,0,0,0,0
156.1428571429,2,874,1931,CONFLICT OVER SIGNAL IN TRAIN INQUIRY,7109,436,What are the causes of railway accidents throughout the world?,railway accidents,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s8': 4, 's3': 4, 's10': 4, 's12': 3, 's1': 3, 's7': 3, 'none': 3, 's5': 3, 's6': 3, 's2': 3, 's11': 3, 's9': 2, 's4': 2})",40,13,7,0.4558667971,"Counter({'none': 0.7388263198757741, 's8': 0.26117368012422604, 's3': 0.26117368012422604, 's10': 0.26117368012422604, 's1': 0.2527883351465538, 's6': 0.2527883351465538, 's12': 0.023442151083297662, 's7': 0.023442151083297662, 's5': 0.023442151083297662, 's2': 0.023442151083297662, 's11': 0.023442151083297662, 's9': 0.015056806105625455, 's4': 0.015056806105625455})",0.3523013933,"Counter({'s8': 0.5714285714285714, 's3': 0.5714285714285714, 's10': 0.5714285714285714, 's12': 0.42857142857142855, 's1': 0.42857142857142855, 's7': 0.42857142857142855, 'none': 0.42857142857142855, 's5': 0.42857142857142855, 's6': 0.42857142857142855, 's2': 0.42857142857142855, 's11': 0.42857142857142855, 's9': 0.2857142857142857, 's4': 0.2857142857142857})",0.2611736801,0.7388263199,1,1,1,2
100,2,755,2325,THOUSANDS REPORTEDLY KILLED,8560,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's1': 2, 's5': 2, 's4': 2, 's12': 2, 's8': 1, 's3': 1, 's2': 1, 's10': 1, 's6': 1, 's11': 1})",19,11,7,0.8734862703,"Counter({'none': 0.9452722855300484, 's1': 0.05472771446995148, 's5': 0.05472771446995148, 's4': 0.05472771446995148, 's12': 0.05472771446995148, 's8': 0.0007480942324951871, 's3': 0.0007480942324951871, 's2': 0.0007480942324951871, 's10': 0.0007480942324951871, 's6': 0.0007480942324951871, 's11': 0.0007480942324951871})",0.5063074063,"Counter({'none': 0.7142857142857143, 's1': 0.2857142857142857, 's5': 0.2857142857142857, 's4': 0.2857142857142857, 's12': 0.2857142857142857, 's8': 0.14285714285714285, 's3': 0.14285714285714285, 's2': 0.14285714285714285, 's10': 0.14285714285714285, 's6': 0.14285714285714285, 's11': 0.14285714285714285})",0.0547277145,0.9452722855,0,0,0,0
167.2857142857,2,548,2371,"BABY BOOM GENERATION MAKES UP THIRD OF POPULATION, REPORT SAYS",12083,435,What measures have been taken worldwide and what countries have been effective in curbing population growth?,curbing population growth,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,Counter({'none': 7}),7,1,7,1,Counter({'none': 1.0}),1,Counter({'none': 1.0}),0,1,0,0,0,0
97.7142857143,2,832,2534,RAIL AGENCY PICKS UP PIECES AFTER AMTRAK'S WORST CRASH,7158,436,What are the causes of railway accidents throughout the world?,railway accidents,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 6, 's8': 1, 's10': 1, 's7': 1, 's6': 1, 's9': 1, 's4': 1})",12,7,7,0.8551446833,"Counter({'none': 0.9340904928942775, 's8': 0.06590950710572244, 's10': 0.06590950710572244, 's7': 0.06590950710572244, 's6': 0.06590950710572244, 's9': 0.06590950710572244, 's4': 0.06590950710572244})",0.7142857143,"Counter({'none': 0.8571428571428571, 's8': 0.14285714285714285, 's10': 0.14285714285714285, 's7': 0.14285714285714285, 's6': 0.14285714285714285, 's9': 0.14285714285714285, 's4': 0.14285714285714285})",0.0659095071,0.9340904929,1,1,0,0
133.8571428571,2,590,4421,"Iran, Iraq and America",8586,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s8': 4, 's7': 4, 's5': 4, 'none': 3, 's6': 3, 's4': 3, 's3': 2, 's2': 2, 's1': 2})",27,9,7,0.7487300889,"Counter({'none': 0.9005334719440093, 's8': 0.09946652805599077, 's7': 0.09946652805599077, 's5': 0.09946652805599077, 's6': 0.023442151083297662, 's4': 0.023442151083297662, 's3': 0.015056806105625455, 's2': 0.015056806105625455, 's1': 0.015056806105625455})",0.3609752557,"Counter({'s8': 0.5714285714285714, 's7': 0.5714285714285714, 's5': 0.5714285714285714, 'none': 0.42857142857142855, 's6': 0.42857142857142855, 's4': 0.42857142857142855, 's3': 0.2857142857142857, 's2': 0.2857142857142857, 's1': 0.2857142857142857})",0.0994665281,0.9005334719,0,0,1,1
