query_id,document_id,crowd_rel_binary
336,497482,0
336,497482,0
336,497482,1
336,497482,0
336,497482,1
336,497482,0
336,497482,0
347,497482,1
347,497482,1
347,497482,1
347,497482,1
347,497482,0
347,497482,0
347,497482,1
686,497543,0
686,497543,1
686,497543,1
686,497543,0
686,497543,0
686,497543,1
686,497543,0
356,497560,1
356,497560,0
356,497560,1
356,497560,1
356,497560,1
356,497560,1
356,497560,1
626,497598,0
626,497598,0
626,497598,1
626,497598,0
626,497598,1
626,497598,0
626,497598,1
337,497629,0
337,497629,1
337,497629,0
337,497629,1
337,497629,1
337,497629,0
337,497629,0
688,498036,1
688,498036,1
688,498036,1
688,498036,1
688,498036,0
688,498036,0
688,498036,1
405,498256,1
405,498256,1
405,498256,0
405,498256,1
405,498256,1
405,498256,1
405,498256,1
696,498897,1
696,498897,1
696,498897,1
696,498897,1
696,498897,1
696,498897,1
696,498897,1
310,499425,1
310,499425,0
310,499425,1
310,499425,1
310,499425,1
310,499425,1
310,499425,1
646,499472,0
646,499472,1
646,499472,1
646,499472,0
646,499472,0
646,499472,1
646,499472,0
439,499487,0
439,499487,0
439,499487,1
439,499487,1
439,499487,0
439,499487,1
439,499487,1
405,499874,0
405,499874,1
405,499874,0
405,499874,1
405,499874,1
405,499874,0
405,499874,1
439,499994,0
439,499994,1
439,499994,0
439,499994,1
439,499994,1
439,499994,1
439,499994,1
671,500071,0
671,500071,1
671,500071,1
671,500071,0
671,500071,0
671,500071,1
671,500071,0
397,500261,1
397,500261,1
397,500261,1
397,500261,1
397,500261,1
397,500261,1
397,500261,1
301,500303,1
301,500303,1
301,500303,1
301,500303,1
301,500303,0
301,500303,1
301,500303,1
626,501130,0
626,501130,1
626,501130,1
626,501130,0
626,501130,1
626,501130,0
626,501130,0
307,501173,1
307,501173,1
307,501173,1
307,501173,1
307,501173,0
307,501173,1
307,501173,1
372,501721,1
372,501721,1
372,501721,1
372,501721,1
372,501721,1
372,501721,1
372,501721,0
698,502009,0
698,502009,1
698,502009,1
698,502009,1
698,502009,0
698,502009,0
698,502009,1
427,502142,1
427,502142,1
427,502142,0
427,502142,0
427,502142,0
427,502142,1
427,502142,1
403,502293,1
403,502293,1
403,502293,0
403,502293,1
403,502293,1
403,502293,1
403,502293,1
409,502310,0
409,502310,1
409,502310,1
409,502310,1
409,502310,0
409,502310,1
409,502310,1
318,502769,0
318,502769,1
318,502769,1
318,502769,0
318,502769,0
318,502769,0
318,502769,0
644,503241,1
644,503241,1
644,503241,1
644,503241,1
644,503241,1
644,503241,1
644,503241,1
627,503496,0
627,503496,1
627,503496,0
627,503496,1
627,503496,1
627,503496,0
627,503496,1
354,504154,1
354,504154,1
354,504154,1
354,504154,0
354,504154,1
354,504154,0
354,504154,1
307,504810,0
307,504810,1
307,504810,1
307,504810,0
307,504810,1
307,504810,1
307,504810,1
307,504815,0
307,504815,1
307,504815,1
307,504815,1
307,504815,1
307,504815,1
307,504815,1
307,505241,0
307,505241,1
307,505241,0
307,505241,1
307,505241,1
307,505241,0
307,505241,1
365,505308,0
365,505308,1
365,505308,0
365,505308,1
365,505308,1
365,505308,1
365,505308,1
307,505438,0
307,505438,1
307,505438,1
307,505438,1
307,505438,1
307,505438,0
307,505438,0
320,505462,0
320,505462,1
320,505462,1
320,505462,1
320,505462,1
320,505462,0
320,505462,0
372,505473,0
372,505473,1
372,505473,0
372,505473,1
372,505473,1
372,505473,1
372,505473,0
364,505531,0
364,505531,1
364,505531,1
364,505531,1
364,505531,0
364,505531,1
364,505531,1
345,505554,1
345,505554,1
345,505554,1
345,505554,1
345,505554,1
345,505554,1
345,505554,1
416,506069,0
416,506069,1
416,506069,0
416,506069,1
416,506069,1
416,506069,1
416,506069,1
307,506069,0
307,506069,1
307,506069,1
307,506069,1
307,506069,0
307,506069,1
307,506069,0
395,506310,0
395,506310,0
395,506310,0
395,506310,0
395,506310,1
395,506310,0
395,506310,0
329,506323,0
329,506323,1
329,506323,1
329,506323,1
329,506323,1
329,506323,1
329,506323,0
396,506625,1
396,506625,1
396,506625,1
396,506625,1
396,506625,1
396,506625,1
396,506625,1
617,506657,1
617,506657,1
617,506657,1
617,506657,1
617,506657,1
617,506657,1
617,506657,1
363,506698,1
363,506698,0
363,506698,0
363,506698,1
363,506698,1
363,506698,1
363,506698,1
344,506870,1
344,506870,0
344,506870,0
344,506870,1
344,506870,1
344,506870,1
344,506870,1
402,507488,0
402,507488,1
402,507488,0
402,507488,1
402,507488,1
402,507488,0
402,507488,1
302,507761,1
302,507761,1
302,507761,0
302,507761,1
302,507761,0
302,507761,1
302,507761,1
331,508547,0
331,508547,1
